barcode,created_by,created_at,message
3981754163852,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754265679,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754264665,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754154843,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754093654,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752311712,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754165870,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752316762,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754161834,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754262876,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752229789,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754254871,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752239801,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754153839,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754160820,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754155857,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754218835,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752308767,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752309771,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754312809,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754158650,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754096686,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754313813,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754311796,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754310782,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754263651,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752241743,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752242757,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754381706,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752303717,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981753826741,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981753928797,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752301690,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981753998707,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981753586775,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754359729,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754308840,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981743460825,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754001680,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754309854,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981743456866,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752305735,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752304721,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981755006776,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981753606879,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754949654,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752306749,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754316845,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754314827,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981752307753,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754315831,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754317859,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754266683,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754002694,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
